62.	LOT	LO	"5 руб. с билета по опубл. тарифам на рейсы LO;
5 руб. с билета по опубл. тарифам на рейсы Interline с участком LO."
63.	LUFTHANSA 	LH	5 коп. с билета по опубл. тарифам на собственные рейсы LH и рейсы Interline с участком LH.
64.	MALEV	MA	"5 коп. с билета от опубл., конфиде.тарифов Экономического и Бизнес класса и при комбинации классов; от опубл.тарифа в случае применения совместного тарифа авиакомпаний при условии, что не менее 50 процентов маршрута должно быть закрыто на авиакомпанию МАЛЕВ (запрещается оформлять перевозку на билетах Авиакомпании без хотя бы одного участка Авиакомпании)
"
65.	MERIDIANA	IG	3,5% от опубл. тарифов на собств.рейсы IG
66.	MIAT-Монгольские Авиалинии	OM	6,3% от опубл. тарифов на собств.рейсы OM
67.	MONTENEGRO AIRLINES	YM	5,6% от всех опубл. тарифов на рейсы YM
68.	OLYMPIC AIR 	OA	0,5% от опубл. тарифа на собств.рейсы OA
69.	OMAN AIR	WY	0,5% от опубл. тарифа на собств.рейсы WY
70.	ROYAL BRUNEY AIRLINES	BI	0,5% от опубл. тарифа на собств. рейсы BI 
71.	RUSSIA	FV	"До 31.10.2010г.
6% от опубл. тарифов на собств. рейсы FV и рейсы Interline c участком FV
1 руб. с билета на рейсы Interline без участка FV.
С 01.11.2010г.
5% от опубл. тарифов на собств. рейсы FV и рейсы Interline c участком FV
1 руб. с билета на рейсы Interline без участка FV.
"
72.	QANTAS AIRWAYS 	QF	4,9% от опубл. тарифов на рейсы QF
73.	QATAR AIRWAYS	QR	"3,5% от опубл. тарифов на собственные рейсы QR
3,5% от опубл. тарифов на рейсы Interline (только при обязательном пролете первого сектора на рейсах QR)"
74.	SAS 	SK	50 коп. с билета на рейсы SAS
75.	SATA INTERNACIONAL	S4	0,5% от опубл. тарифа на собств. рейсы S4
76.	SINGAPORE AIRLINES	SQ	"2% от опубл.тарифов (вкл.промотарифы в V и Q классах) на собств.рейсы SQ/Silk Air с началом от пунктов РФ;
4,2% от опубл.тарифов (вкл.промотарифы в V и Q классах) на собств.рейсы SQ/Silk Air с началом от пунктов РФ в/через Хьюстон (США) и от Хьюстона (США) в пункты РФ; 
2% от опубл.тарифов на собств.рейсы SQ/Silk Air с началом от пунктов, не указанных выше;
При продаже перевозок по Interline комиссионное вознаграждение начисляется в полном объеме, если перевозка включает хотя бы один полетный сегмент SQ/Silk Air и оформлена на бланке SQ/618. Оформление перевозки на бланках SQ/618 по маршруту, который не включает хотя бы один полетный сегмент, выполняемый SQ/Silk Air, запрещено.
"
77.	SkyExpress 	XW	3,5% от опубл. тарифов на собств.рейсы XW 
78.	SN BRUSSELS 	SN	"5 руб. с билета по опубл. тарифам на собств. рейсы SN;
5 руб. с билета по опубл. тарифам в случае применения совмещенного тарифа авиакомпаний;"
79.	SUN D’OR International Airlines	2U	3,5% от опубл. тарифов на собств. рейсы 2U
80.	South African Airways 	SA	0,5% от опубл. тарифа на собств. рейсы SA и рейсы Interline
81.	SRI LANKAN AIRLINES	UL	0,5% от опубл. тарифа на собств.рейсы UL
82.	SWISS  	LX	5 коп. с билета по опубл. тарифам на собств.рейсы LX и рейсы Interline с уч. LX.
83.	SYRIAN ARAB AIRLINES	RB	5% от опубл. тарифов на рейсы RB
84.	TAM Linhas Aereas S.A.	JJ	0,5% от опубл. тарифа на собств.рейсы JJ
85.	TAP PORTUGAL	TP	0,5% от опубл. тарифа на собственные рейсы TP и рейсы Interline
86.	TURKISH AIRLINES	TK	"5% от полного опубл. тарифа IATA на рейсы TK;
5% от тарифа экономического класса на рейсы TK;
8,4% от тарифа бизнес класса на рейсы TK. (только при вылете из РФ. При вылете из других пунктов 5%);
3,5% от тарифа эконом и бизнес класса при перелетах внутри Турции на рейсы TK."
87.	THAI AIRWAYS	TG	"5% от опубл. и конфиде.тарифов на международные рейсы TG
3.5% от опубл.тарифов на внутренние рейсы TG 
0,5% от опубл. тарифа на рейсы Interline с участком TG. (Билеты по Interline могут быть выписаны только при условии присутствия сегментов TG.)"
88.	Ukraine International Airlines	PS	6,3% от опубл. тарифов на собств.рейсы PS
89.	UNITED AIRLINES	UA	"До 31.12.2010г. 3,5% от опубл. тарифов эконом. класса за исключением подклассов Y, B на все рейсы UA из Москвы в США, Канаду и Латинскую Америку с обяз. уч. трансатлантич. рейса UA965/UA964.
До 31.12.2010г. 4,5% от опубл. тарифов в следующих подклассах бронирования: F/A/J/C/D/Z/Y/B на все рейсы UA из Москвы в США, Канаду и Латинскую Америку с обязат. уч. трансатлантич. рейса UA965/UA964.
0% от тарифа на продажу рейсов UA без участия трансатл. рейса UA965/UA964.
0,5% от всех остальных опубл. тарифов на собственные рейсы UA  "
90.	VIETNAM AIRLINES	VN	"5% от конфиденциальных тарифов на рейсы VN;
5% от опубликованных тарифов на международных рейсах VN;
3,5% от опубликованных тарифов VN на всех внутренних рейсах VN во Вьетнаме;
0% от оформленных под кодом 738 опубл.тарифов на рейсы Interline."
91.	Virgin Atlantic Airways Limited	VS	"5% от опубл. тарифов на собств.рейсы VS
5% от опубл. тарифов на рейсы Interline (до Лондона: BD, BA, SU), выписанные на ОДНОМ бланке. Первый трансатлантический перелет на Virgin Atlantic является обязательным."
92.	WINDROSE	7W	6,3% от опубл. тарифов на собств.рейсы 7W
			3,5% от опубл. тарифов на рейсы Interline c участком 7W
93.	YEMENIA YEMEN AIRWAYS	IY	0,5% от опубл. тарифов на собств. рейсы IY 
